## Raonament:

1. **Elements del conjunt:** El conjunt de nombres naturals entre 1 i 17 té 17 elements.
2. **Subconjunts de 5 elements:**  Per a cada subconjunt de 5 elements, tenim 17 opcions per a la primera posició, 16 per a la segona, 15 per a la tercera, i així successivament. 
3. **Progressió aritmètica:** Per a cada subconjunt, necessitem que la diferència entre els dos primers elements sigui constant. 
4. **Combinacions:** Per a cada subconjunt, podem trobar una progressió aritmètica si i només si la diferència entre els dos primers elements és constant. 
5. **Càlcul:** Per a trobar el nombre de subconjunts, cal calcular el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 17 elements. 
* La fórmula de combinacions es pot utilitzar per a trobar el nombre de subconjunts de 5 elements que es poden formar a partir de 
