## Raonament:

Per a resoldre aquesta pregunta, hem de seguir els següents passos:

1. **Divisió per 2 i 3:** Un nombre natural és divisble per 2 i per 3 si i només si és divisible per 6.
2. **Nombres amb tres xifres:**  Hem de considerar els nombres amb tres xifres, que són 100 a 999.
3. **Combinació de divisibilitat:**  Hem de trobar els nombres que són divisibles per 6 entre 100 i 999.

**Calcular el nombre de nombres divisibles per 6 entre 100 i 999:**

* **Divisió per 6:**  Un nombre és divisble per 6 si el seu resultat de la divisió per 2 i 3 és 0.
* **Càlcul:**  Hem de calcular el nombre de nombres que són divisibles per 6 entre 100 i 999.

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 6 entre 100 i 999:**

* **Nombre de nombres divisibles per 6 = (Nombre de nombres entre 100 i 999) / 6**

**Calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Divisió per 2 i 3:**  Un nombre és divisble per 2 i per 3 si i només si és divisible per 6.

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 6 entre 100 i 999:**

* **Nombre de nombres divisibles per 6 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 2 i 3 = (Nombre de nombres entre 100 i 999) / 6**

**Es pot utilitzar la següent fórmula per calcular el nombre de nombres divisibles per 2 i 3 entre 100 i 999:**

* **Nombre de nombres divisibles per 
